"Section","key","English (reference — do not edit)","Khmer (edit here)","Chinese (edit here)","Notes for Claude"
"Checklist form","checklistForm.placeholder.email","Your email","អ៊ីមែលរបស់អ្នក","您的邮箱",""
"Checklist form","checklistForm.placeholder.name","Your name","ឈ្មោះរបស់អ្នក","您的姓名",""
"Checklist form","checklistForm.success.body","Check your inbox — we've sent you a step-by-step guide to getting started.","សូមពិនិត្យប្រអប់សំបុត្ររបស់អ្នក — យើងបានផ្ញើមគ្គុទ្ទេសក៍មួយជំហានម្ដងសម្រាប់ការចាប់ផ្ដើមមកអ្នក។","请查看您的收件箱——我们已向您发送了一份入门分步指南。",""
"Checklist form","checklistForm.success.heading","Checklist sent!","បានផ្ញើបញ្ជីត្រួតពិនិត្យ!","清单已发送！",""
"Clinical results","clinicalResults.category.allCases","All cases","ករណីទាំងអស់","全部案例",""
"Clinical results","clinicalResults.category.backToAll","All Clinical Results","លទ្ធផលព្យាបាលទាំងអស់","全部临床案例",""
"Clinical results","clinicalResults.category.browseAll","Browse all clinical results","មើលលទ្ធផលព្យាបាលទាំងអស់","浏览全部临床案例",""
"Clinical results","clinicalResults.category.emptyState","New {label} cases are coming soon.","ករណី {label} ថ្មីៗនឹងមកដល់ឆាប់ៗនេះ។","新的 {label} 案例即将推出。",""
"Clinical results","clinicalResults.hero.body","A selection of cases from Roomchang's clinical team — covering implants, orthodontics, full mouth reconstructions, and cosmetic transformations. All cases are documented with clinical notes, photos, and patient consent.","ករណីអ្នកជំងឺដែលបានព្យាបាលដោយក្រុមគ្រូពេទ្យរបស់ Roomchang — មានតាំងពីការដាំបង្គោលធ្មេញ ពត់តម្រង់ធ្មេញ ដាំបណ្តុះធ្មេញពេញមួយមាត់ និងការកែសម្ភស្សធ្មេញ។ ករណីទាំងអស់មានកំណត់ត្រាព្យាបាល រូបថត និងការយល់ព្រមពីអ្នកជំងឺ។","精选Roomchang临床团队的治疗案例——涵盖种植牙、正畸、全口重建和美容改造。所有案例均附有临床记录、照片和患者知情同意书。",""
"Clinical results","clinicalResults.hero.eyebrow","Real Patients, Real Results","អ្នកជំងឺពិត លទ្ធផលពិត","真实患者，真实效果",""
"Clinical results","clinicalResults.hero.heading","Clinical Results","លទ្ធផលព្យាបាល","临床案例",""
"Clinical results","clinicalResults.meta.description","Real patient results from Roomchang Dental Hospital — before and after cases for implants, orthodontics, full mouth reconstruction, cosmetic dentistry and more.","លទ្ធផលអ្នកជំងឺពិតពី Roomchang — ករណីមុន និងក្រោយព្យាបាលសម្រាប់ការដាំបង្គោលធ្មេញ ពត់តម្រង់ធ្មេញ ដាំបណ្តុះធ្មេញពេញមួយមាត់ កែសម្ភស្សធ្មេញ និងសេវាកម្មធ្មេញច្រើនទៀត។","Roomchang牙科医院真实患者案例——种植牙、正畸、全口重建、美容牙科等治疗前后对比。",""
"Clinical results","clinicalResults.meta.title","Clinical Results | Roomchang Dental Hospital","លទ្ធផលព្យាបាល | មន្ទីរពេទ្យទន្តសាស្ត្រ Roomchang","临床案例 | Roomchang牙科医院",""
"Clinical results","clinicalResults.stat.clinicalExperience","Clinical experience","បទពិសោធន៍ព្យាបាល","临床经验",""
"Clinical results","clinicalResults.stat.countriesServed","Countries served","ប្រទេសដែលបានបម្រើ","服务国家",""
"Clinical results","clinicalResults.stat.patientsTreated","Patients Treated","អ្នកជំងឺបានព្យាបាល","已治疗患者",""
"Clinical results","clinicalResults.stat.specialistDentists","Specialist Dentists","ទន្តបណ្ឌិតឯកទេស","专科医生",""
"Clinical results grid","clinicalResultsGrid.altPattern","Before and after — {title}","មុន និងក្រោយ — {title}","治疗前后对比——{title}",""
"Clinical results grid","clinicalResultsGrid.cat.cosmeticEmax","Cosmetic & E-Max","កែសម្ភស្សធ្មេញ និង ធ្មេញ E-Max","美容与E-Max全瓷",""
"Clinical results grid","clinicalResultsGrid.cat.fullMouth","Full Mouth","ពេញមាត់","全口重建",""
"Clinical results grid","clinicalResultsGrid.cat.implantBridges","Implant Bridges","ដាំបង្គោលធ្មេញស្ពាន","种植桥",""
"Clinical results grid","clinicalResultsGrid.cat.implantsCrowns","Implants & Crowns","ដាំបង្គោលធ្មេញ និងស្រោបធ្មេញ","种植牙与牙冠",""
"Clinical results grid","clinicalResultsGrid.cat.orthodontics","Orthodontics","ពត់តម្រង់ធ្មេញ","正畸",""
"Clinical results grid","clinicalResultsGrid.cta.body","Book a consultation and our specialists will assess your case and show you what's possible — with a personalised treatment plan and clear pricing.","ណាត់ពិគ្រោះយោបល់ បន្ទាប់មកទន្តបណ្ឌិតឯកទេសរបស់Roomchangនឹងវាយតម្លៃករណីរបស់លោកអ្នក និងបង្ហាញអ្វីដែលអាចធ្វើបាន — ជាមួយផែនការព្យាបាលផ្ទាល់ខ្លួន និងតម្លៃច្បាស់លាស់។","预约咨询，我们的专科医生将评估您的情况，向您展示可能的方案——配有个性化治疗计划和明确的报价。",""
"Clinical results grid","clinicalResultsGrid.cta.bookButton","Book a Consultation","ធ្វើការណាត់ជួបប្រឹក្សាយោបល់","预约咨询",""
"Clinical results grid","clinicalResultsGrid.cta.heading","Achieve similar results","សម្រេចលទ្ធផលស្រដៀងគ្នា","获得类似效果",""
"Clinical results grid","clinicalResultsGrid.cta.pricingButton","View Pricing","មើលតម្លៃ","查看价格",""
"Clinical results grid","clinicalResultsGrid.disclaimer","* Patient images and full case photography available upon request in clinic. Cases shown with patient consent. Individual results may vary depending on oral health, bone density, and treatment complexity.","* រូបថតអ្នកជំងឺ និងរូបថតករណីពេញអាចស្នើសុំមើលនៅគ្លីនិក។ ករណីដែលបង្ហាញមានការយល់ព្រមពីអ្នកជំងឺ។ លទ្ធផលម្នាក់ៗអាចខុសគ្នាអាស្រ័យលើសុខភាពមាត់ធ្មេញ កំហាប់ឆ្អឹង និងភាពស្មុគស្មាញនៃការព្យាបាល។","* 患者照片及完整病例摄影可在诊所申请查看。所示案例均获患者同意。个人效果可能因口腔健康状况、骨密度和治疗复杂度而异。",""
"Clinical results grid","clinicalResultsGrid.duration","Duration:","រយៈពេល:","疗程：",""
"Clinical results grid","clinicalResultsGrid.filterAll","All","ទាំងអស់","全部",""
"Clinical results grid","clinicalResultsGrid.noResults","No cases found for {category}.","រកមិនឃើញករណីសម្រាប់ {category}។","未找到{category}类别的案例。",""
"Clinical results grid","clinicalResultsGrid.showAll","Show all","បង្ហាញទាំងអស់","显示全部",""
"Clinical results grid","clinicalResultsGrid.tag.beforeAfter","Before & After","មុន និងក្រោយ","治疗前后",""
"Clinical results grid","clinicalResultsGrid.tag.cosmetic","Cosmetic","សម្ភស្ស","美容修复",""
"Clinical results grid","clinicalResultsGrid.viewCase","View case","មើលករណី","查看案例",""
"CMS blocks","blocks.articleCardGrid.readMore","Read more","អានបន្ថែម","阅读更多",""
"CMS blocks","blocks.carousel.imageAltFallback","Slide","ស្លាយ","幻灯片",""
"CMS blocks","blocks.carousel.slideLabel","Slide {number}","ស្លាយទី {number}","第 {number} 张幻灯片",""
"CMS blocks","blocks.hero.imageAltFallback","Hero","រូបភាពចម្បង","主图",""
"CMS blocks","blocks.pricing.defaultTitle","Our Services","សេវាកម្មរបស់យើង","我们的服务",""
"CMS blocks","blocks.pricing.emptyState","No pricing categories published yet.","មិនទាន់មានប្រភេទតម្លៃត្រូវបានចេញផ្សាយនៅឡើយទេ។","暂未发布任何价格类别。",""
"CMS blocks","blocks.pricing.freeLabel","Free","ឥតគិតថ្លៃ","免费",""
"CMS blocks","blocks.pricing.viewFullPricing","View full pricing","មើលតារាងតម្លៃពេញលេញ","查看完整价格表",""
"CMS blocks","blocks.servicesGrid.emptyState","No services published yet.","មិនទាន់មានសេវាកម្មត្រូវបានបង្ហោះនៅឡើយទេ។","暂无已发布的服务。",""
"CMS blocks","blocks.servicesGrid.learnMore","Learn more →","ស្វែងយល់បន្ថែម →","了解更多 →",""
"CMS blocks","blocks.teamGrid.bookAppointment","Book appointment","ធ្វើការណាត់ជួប","预约就诊",""
"CMS blocks","blocks.teamGrid.emptyState","No team members published yet.","មិនទាន់មានសមាជិកក្រុមត្រូវបានបង្ហាញនៅឡើយទេ។","暂未发布团队成员。",""
"CMS blocks","blocks.testimonials.defaultHeading","What Our Patients Say","អ្វីដែលអ្នកជំងឺរបស់យើងនិយាយ","患者怎么说",""
"CMS blocks","blocks.testimonials.empty","No testimonials published yet.","មិនទាន់មានបទពិសោធន៍ត្រូវបានផ្សព្វផ្សាយនៅឡើយទេ។","暂无已发布的患者评价。",""
"CMS blocks","blocks.testimonials.ratingStars","{count} stars","{count} ផ្កាយ","{count} 颗星",""
"Common","common.bookAppointment","Book Appointment","កក់ការណាត់ជួប","预约挂号",""
"Common","common.close","Close","បិទ","关闭",""
"Common","common.contactUs","Contact Us","ទំនាក់ទំនងយើងខ្ញុំ","联系我们",""
"Common","common.free","Free","ឥតគិតថ្លៃ","免费",""
"Common","common.learnMore","Learn more","ស្វែងយល់បន្ថែម","了解更多",""
"Common","common.readMore","Read more","អានបន្ថែម","阅读更多",""
"Community","communityPage.backToAbout","About","អំពីយើង","关于我们",""
"Community","communityPage.getInTouch","Get In Touch","ទាក់ទងមកយើង","联系我们",""
"Community","communityPage.heading","Roomchang in the Community","Roomchang ក្នុងសហគមន៍","Roomchang 回馈社区",""
"Community","communityPage.intro","Dental care shouldn't be a luxury. Since 1996, Roomchang has run charity missions bringing free treatment to underserved communities across Cambodia — rural provinces, schools, orphanages, and beyond.","ការថែទាំធ្មេញមិនគួរជារបស់ប្រណីតនោះទេ។ ចាប់តាំងពីឆ្នាំ 1996 មក Roomchang បានធ្វើបេសកកម្មសប្បុរសធម៌ នាំយកការព្យាបាលដោយឥតគិតថ្លៃដល់សហគមន៍ដែលខ្វះខាតនៅទូទាំងប្រទេសកម្ពុជា — ខេត្តជនបទ សាលារៀន មណ្ឌលកុមារកំព្រា និងកន្លែងផ្សេងៗទៀត។","牙科护理不应是一种奢侈。自 1996 年以来，Roomchang 持续开展公益行动，为柬埔寨各地的弱势社区——偏远省份、学校、孤儿院等——提供免费治疗。",""
"Community","communityPage.metaDescription","Roomchang's charity missions bring free dental care to underserved communities across Cambodia — mobile clinics, blood drives, and oral health education.","បេសកកម្មសប្បុរសធម៌របស់ Roomchang នាំយកការថែទាំធ្មេញដោយឥតគិតថ្លៃដល់សហគមន៍ដែលខ្វះខាតនៅទូទាំងប្រទេសកម្ពុជា — គ្លីនិកចល័ត ការបរិច្ចាគឈាម និងការអប់រំសុខភាពមាត់ធ្មេញ។","Roomchang 的公益行动为柬埔寨各地的弱势社区带来免费牙科服务——流动诊所、献血活动以及口腔健康教育。",""
"Community","communityPage.metaTitle","Roomchang in the Community | Roomchang Dental Hospital","Roomchang ក្នុងសហគមន៍ | មន្ទីរពេទ្យធ្មេញ Roomchang","Roomchang 回馈社区 | Roomchang 牙科医院",""
"Community","communityPage.partnerBody","If your organisation would like to support or co-sponsor a charity dental mission, we'd love to hear from you.","ប្រសិនបើស្ថាប័នរបស់អ្នកចង់គាំទ្រ ឬឧបត្ថម្ភរួមលើបេសកកម្មធ្មេញសប្បុរសធម៌ យើងសូមស្វាគមន៍ការទំនាក់ទំនងពីអ្នក។","如果贵机构希望支持或共同赞助公益牙科行动，我们诚挚期待与您联系。",""
"Community","communityPage.partnerTitle","Partner With Us","ក្លាយជាដៃគូជាមួយយើង","与我们合作",""
"Community","communityPage.readMore","Read More","អានបន្ថែម","阅读更多",""
"Community detail","communityDetail.backLink","Roomchang in the Community","Roomchang ក្នុងសហគមន៍","Roomchang 与社区",""
"Community gallery","communityGallery.lightbox.alt","{title}, {index} of {total}","{title} រូបភាពទី {index} នៃ {total}","{title}，第 {index} 张，共 {total} 张",""
"Community gallery","communityGallery.lightbox.close","Close","បិទ","关闭",""
"Community gallery","communityGallery.lightbox.dialogLabel","{title} — photo viewer","{title} — កម្មវិធីមើលរូបភាព","{title} — 照片查看器",""
"Community gallery","communityGallery.lightbox.next","Next photo","រូបភាពបន្ទាប់","下一张",""
"Community gallery","communityGallery.lightbox.previous","Previous photo","រូបភាពមុន","上一张",""
"Community gallery","communityGallery.thumbnail.alt","{title}, {index} of {total}","{title} រូបភាពទី {index} នៃ {total}","{title}，第 {index} 张，共 {total} 张",""
"Community gallery","communityGallery.thumbnail.viewPhoto","View photo {index} of {total}","មើលរូបភាពទី {index} នៃ {total}","查看第 {index} 张照片，共 {total} 张",""
"Contact","contact.hero.body","Fill in the form and one of our team will be in touch within one business day. For urgent enquiries, call us directly — we have a 24/7 line.","បំពេញទម្រង់ ហើយក្រុមរបស់យើងនឹងឆ្លើយតបក្នុងរយៈពេលមួយថ្ងៃធ្វើការ។ សម្រាប់បញ្ហាបន្ទាន់ សូមទូរស័ព្ទមកដោយផ្ទាល់ — យើងមានខ្សែទូរស័ព្ទ ២៤ ម៉ោង។","填写表格，我们的团队将在一个工作日内与您联系。如有紧急需求，请直接拨打电话——我们提供24小时服务。",""
"Contact","contact.hero.eyebrow","Get In Touch","ទំនាក់ទំនងយើងខ្ញុំ","联系我们",""
"Contact","contact.hero.heading","Contact & Appointments","ទំនាក់ទំនង និងការណាត់ជួប","联系与预约",""
"Contact","contact.hero.twentyFourSeven","(24/7)","(២៤/៧)","（24小时）",""
"Contact","contact.meta.description","Book an appointment at Roomchang Dental Hospital. Five branches across Phnom Penh with 24/7 emergency line.","កក់ការណាត់ជួបនៅមន្ទីរពេទ្យទន្តសាស្ត្រ Roomchang។ សាខាទាំង ៥ នៅភ្នំពេញ ជាមួយខ្សែទូរស័ព្ទបន្ទាន់ ២៤ ម៉ោង។","预约Roomchang牙科医院。金边五家分院，24小时急诊热线。",""
"Contact","contact.meta.title","Contact & Appointments | Roomchang Dental Hospital","ទំនាក់ទំនង និងការណាត់ជួប | មន្ទីរពេទ្យទន្តសាស្ត្រ Roomchang","联系与预约 | Roomchang牙科医院",""
"Contact form","contactForm.branches.directions","View on map","មើលផែនទី","查看地图",""
"Contact form","contactForm.branches.heading","Our Branches","សាខារបស់យើងខ្ញុំ","分院地址",""
"Contact form","contactForm.button.sending","Sending…","កំពុងផ្ញើ…","发送中…",""
"Contact form","contactForm.button.submit","Send Enquiry","ផ្ញើការសាកសួរ","发送咨询",""
"Contact form","contactForm.error.generic","Sorry, something went wrong. Please try again or call us directly.","សូមអភ័យទោស មានបញ្ហាកើតឡើង។ សូមព្យាយាមម្ដងទៀត ឬទូរស័ព្ទមកយើងដោយផ្ទាល់។","抱歉，出了点问题。请重试或直接致电我们。",""
"Contact form","contactForm.label.branch","Preferred Branch","សាខាដែលពេញចិត្ត","首选分院",""
"Contact form","contactForm.label.country","Country","ប្រទេស","国家/地区",""
"Contact form","contactForm.label.date","Preferred Appointment Date","កាលបរិច្ឆេទណាត់ជួបដែលពេញចិត្ត","首选就诊日期",""
"Contact form","contactForm.label.doctor","Preferred Doctor","ទន្តបណ្ឌិតដែលពេញចិត្ត","首选医生",""
"Contact form","contactForm.label.email","Email","អ៊ីមែល","电子邮箱",""
"Contact form","contactForm.label.fullName","Full Name","ឈ្មោះពេញ","姓名",""
"Contact form","contactForm.label.message","Message","សារ","留言",""
"Contact form","contactForm.label.patientType","Patient Type","ប្រភេទអ្នកជំងឺ","患者类型",""
"Contact form","contactForm.label.phone","Phone / WhatsApp / Telegram","ទូរស័ព្ទ / WhatsApp / Telegram","手机 / WhatsApp / Telegram",""
"Contact form","contactForm.label.treatment","Treatment Needed","ការព្យាបាលដែលត្រូវការ","需要的治疗",""
"Contact form","contactForm.label.wechat","WeChat ID","WeChat ID","微信号",""
"Contact form","contactForm.messaging.heading","Message Us","ផ្ញើសារមកយើងខ្ញុំ","在线咨询",""
"Contact form","contactForm.messaging.wechat","WeChat","WeChat","微信",""
"Contact form","contactForm.patientType.existing","Existing patient","អ្នកជំងឺចាស់","现有患者",""
"Contact form","contactForm.patientType.new","New patient","អ្នកជំងឺថ្មី","新患者",""
"Contact form","contactForm.placeholder.branch","Any branch (optional)","សាខាណាមួយ (មិនតម្រូវ)","任何分院（可选）",""
"Contact form","contactForm.placeholder.country","Cambodia","កម្ពុជា","柬埔寨",""
"Contact form","contactForm.placeholder.doctor","Any doctor (optional)","ទន្តបណ្ឌិតណាមួយ (មិនតម្រូវ)","任何医生（可选）",""
"Contact form","contactForm.placeholder.message","Tell us about your dental concerns or what you're hoping to achieve...","ប្រាប់យើងខ្ញុំអំពីបញ្ហាធ្មេញរបស់អ្នក ឬអ្វីដែលអ្នកចង់សម្រេចបាន...","请告诉我们您的牙齿问题或期望达到的效果...",""
"Contact form","contactForm.placeholder.name","Your name","ឈ្មោះរបស់អ្នក","您的姓名",""
"Contact form","contactForm.placeholder.treatment","Select a treatment (optional)","ជ្រើសរើសការព្យាបាល (មិនតម្រូវ)","选择治疗项目（可选）",""
"Contact form","contactForm.placeholder.wechat","Your WeChat ID (optional)","WeChat ID របស់អ្នក (មិនតម្រូវ)","您的微信号（可选）",""
"Contact form","contactForm.privacy","We respond within one business day. Your information is kept private.","យើងឆ្លើយតបក្នុងរយៈពេលមួយថ្ងៃធ្វើការ។ ព័ត៌មានរបស់អ្នកត្រូវបានរក្សាជាសម្ងាត់។","我们将在一个工作日内回复。您的信息将严格保密。",""
"Contact form","contactForm.service.cosmetic","Cosmetic Dentistry","កែសម្ភស្សធ្មេញ","美容牙科",""
"Contact form","contactForm.service.crowns","Crowns & Bridges","ស្រោបធ្មេញ និងធ្មេញស្ពាន","牙冠与牙桥",""
"Contact form","contactForm.service.endodontics","Endodontics","ព្យាបាលរន្ធឫសធ្មេញ","牙髓治疗",""
"Contact form","contactForm.service.fullMouth","Full Mouth Reconstruction","ដាំបណ្តុះធ្មេញពេញមួយមាត់","全口重建",""
"Contact form","contactForm.service.general","General Dentistry / Check-up","ទន្តសាស្ត្រទូទៅ / ពិនិត្យសុខភាពមាត់ធ្មេញ","全科牙科 / 常规检查",""
"Contact form","contactForm.service.implants","Dental Implants","ដាំបង្គោលធ្មេញ","种植牙",""
"Contact form","contactForm.service.oralSurgery","Oral Surgery","វះកាត់មាត់ធ្មេញ","口腔外科",""
"Contact form","contactForm.service.orthodontics","Orthodontics","ពត់តម្រង់ធ្មេញ","正畸治疗",""
"Contact form","contactForm.service.other","Other","ផ្សេងៗ","其他",""
"Contact form","contactForm.service.paediatric","Paediatric Dentistry","ពេទ្យធ្មេញកុមារ","儿童牙科",""
"Contact form","contactForm.service.sleepApnea","Sleep Apnea Treatment","ព្យាបាលស្រម៉ុកនិងស្ទះដង្ហើមពេលគេង","睡眠呼吸暂停治疗",""
"Contact form","contactForm.service.whitening","Teeth Whitening","ធ្វើធ្មេញឱ្យស","牙齿美白",""
"Contact form","contactForm.success.body","Your enquiry has been received. A member of our team will contact you within one business day to confirm your appointment or answer your questions.","សាររបស់លោកអ្នកត្រូវបានបញ្ជូនរួចរាល់ហើយ។ ក្រុមការងាររបស់យើងខ្ញុំនឹងទាក់ទងលោកអ្នកក្នុងរយៈពេលមួយថ្ងៃនៃថ្ងៃធ្វើការ ដើម្បីបញ្ជាក់ការណាត់ជួប ឬឆ្លើយសំណួររបស់លោកអ្នក។","您的咨询已收到。我们的团队将在一个工作日内联系您确认预约或回答您的问题。",""
"Contact form","contactForm.success.heading","Thanks, we'll be in touch!","សូមអរគុណ យើងខ្ញុំនឹងទាក់ទងលោកអ្នកឆាប់ៗ!","感谢您，我们会尽快联系您！",""
"Contact form","contactForm.success.sendAnother","Send another enquiry","ផ្ញើការសាកសួរផ្សេងទៀត","再发一个咨询",""
"Date picker","datePicker.months.april","April","មេសា","四月",""
"Date picker","datePicker.months.august","August","សីហា","八月",""
"Date picker","datePicker.months.december","December","ធ្នូ","十二月",""
"Date picker","datePicker.months.february","February","កុម្ភៈ","二月",""
"Date picker","datePicker.months.january","January","មករា","一月",""
"Date picker","datePicker.months.july","July","កក្កដា","七月",""
"Date picker","datePicker.months.june","June","មិថុនា","六月",""
"Date picker","datePicker.months.march","March","មីនា","三月",""
"Date picker","datePicker.months.may","May","ឧសភា","五月",""
"Date picker","datePicker.months.november","November","វិច្ឆិកា","十一月",""
"Date picker","datePicker.months.october","October","តុលា","十月",""
"Date picker","datePicker.months.september","September","កញ្ញា","九月",""
"Date picker","datePicker.placeholder","Select a date","ជ្រើសរើសកាលបរិច្ឆេទ","选择日期",""
"Date picker","datePicker.today","Today","ថ្ងៃនេះ","今天",""
"Date picker","datePicker.weekdays.fri","Fr","សុ","五",""
"Date picker","datePicker.weekdays.mon","Mo","ច","一",""
"Date picker","datePicker.weekdays.sat","Sa","ស","六",""
"Date picker","datePicker.weekdays.sun","Su","អា","日",""
"Date picker","datePicker.weekdays.thu","Th","ព្រ","四",""
"Date picker","datePicker.weekdays.tue","Tu","អ","二",""
"Date picker","datePicker.weekdays.wed","We","ព","三",""
"Doctors grid","doctorGrid.cta.body","Tell us what you're looking for and we'll match you with the right specialist.","ប្រាប់យើងពីអ្វីដែលអ្នកកំពុងស្វែងរក យើងនឹងផ្គូផ្គងអ្នកជាមួយវេជ្ជបណ្ឌិតឯកទេសដែលសមស្រប។","告诉我们您的需求，我们会为您匹配最合适的专科医生。",""
"Doctors grid","doctorGrid.cta.button","Get Matched","ស្វែងរកទន្តបណ្ឌិត","帮我匹配",""
"Doctors grid","doctorGrid.cta.heading","Not sure who to see?","មិនច្បាស់ថាត្រូវជួបទន្តបណ្ឌិតរូបណា?","不确定该看哪位医生？",""
"Doctors grid","doctorGrid.dept.cosmetic","Cosmetic Dentistry","កែសម្ភស្សធ្មេញ","美容牙科",""
"Doctors grid","doctorGrid.dept.general","General Dentistry","ទន្តសាស្ត្រទូទៅ","全科牙科",""
"Doctors grid","doctorGrid.dept.implantology","Implantology and Oral Reconstruction","ផ្នែកដាំបង្គោលធ្មេញ និងវះកាត់ក្នុងមាត់","种植与口腔重建科",""
"Doctors grid","doctorGrid.dept.orthodontics","Orthodontics","ផ្នែកពត់តម្រង់ធ្មេញ","正畸科",""
"Doctors grid","doctorGrid.dept.pediatrics","Pediatrics","ផ្នែកកុមារ","儿童牙科",""
"Doctors grid","doctorGrid.dept.periodontics","Periodontics","ផ្នែកអញ្ចាញធ្មេញ","牙周科",""
"Doctors grid","doctorGrid.dept.seniorConsultant","Senior Consultant","ទីប្រឹក្សាជាន់ខ្ពស់","资深顾问医师",""
"Doctors grid","doctorGrid.filterAll","All","ទាំងអស់","全部",""
"Doctors grid","doctorGrid.filterLabel","Filter by language:","តម្រងតាមភាសា:","按语言筛选：",""
"Doctors grid","doctorGrid.filterResult","{count} doctor(s) speak {language}","ទន្តបណ្ឌិត {count} នាក់ និយាយ{language}","{count}位医生使用{language}",""
"Doctors grid","doctorGrid.lang.english","English","អង់គ្លេស","英语",""
"Doctors grid","doctorGrid.lang.french","French","បារាំង","法语",""
"Doctors grid","doctorGrid.lang.german","German","អាល្លឺម៉ង់","德语",""
"Doctors grid","doctorGrid.lang.japanese","Japanese","ជប៉ុន","日语",""
"Doctors grid","doctorGrid.lang.khmer","Khmer","ខ្មែរ","柬语",""
"Doctors grid","doctorGrid.lang.mandarin","Mandarin","ចិន","普通话",""
"Doctors grid","doctorGrid.modal.about","About","អំពី","简介",""
"Doctors grid","doctorGrid.modal.bookWith","Book with Dr. {lastName}","ណាត់ជួប ទន្ត. {lastName}","预约{lastName}医生",""
"Doctors grid","doctorGrid.modal.close","Close","បិទ","关闭",""
"Doctors grid","doctorGrid.modal.consultantNote","Visiting consultant — not available for routine appointments.","អ្នកប្រឹក្សាមកលេង — មិនមានសម្រាប់ការណាត់ជួបធម្មតាទេ។","客座顾问 — 不提供常规预约。",""
"Doctors grid","doctorGrid.modal.languages","Languages","ភាសា","语言",""
"Doctors grid","doctorGrid.modal.specialties","Specialties","ជំនាញឯកទេស","专长领域",""
"Doctors grid","doctorGrid.noResults","No doctors found for {language}.","រកមិនឃើញទន្តបណ្ឌិតដែលនិយាយ{language}។","未找到使用{language}的医生。",""
"Doctors grid","doctorGrid.showAll","Show all doctors","បង្ហាញទន្តបណ្ឌិតទាំងអស់","显示全部医生",""
"Error page","errorPage.body","Sorry, an unexpected error occurred. Please try again.","សូមអភ័យទោស មានកំហុសដែលមិនបានរំពឹងទុកកើតឡើង។ សូមព្យាយាមម្ដងទៀត។","抱歉，发生了意外错误。请重试。",""
"Error page","errorPage.home","Back to Home","ត្រឡប់ទៅទំព័រដើម","返回首页",""
"Error page","errorPage.retry","Try again","ព្យាយាមម្ដងទៀត","重试",""
"Error page","errorPage.title","Something went wrong","មានបញ្ហាកើតឡើង","出现错误",""
"Floating contact","floatingContact.closeAriaLabel","Close contact options","បិទជម្រើសទំនាក់ទំនង","关闭联系方式",""
"Floating contact","floatingContact.contactAlt","Contact Roomchang","ទំនាក់ទំនងយើងខ្ញុំ","联系Roomchang",""
"Floating contact","floatingContact.enquiry","Enquiry","សាកសួរ","在线咨询",""
"Floating contact","floatingContact.openAriaLabel","Open contact options","បើកជម្រើសទំនាក់ទំនង","打开联系方式",""
"Floating contact","floatingContact.wechat","WeChat","WeChat","微信",""
"Footer","footer.address.line1","No.4, Street 184, Phsar Thmey 3","អគារលេខ០៤ ផ្លូវ ១៨៤ សង្កាត់ផ្សារថ្មី៣","No.4, Street 184, Phsar Thmey 3",""
"Footer","footer.address.line2","Khan Daun Penh, Phnom Penh 120203","ខណ្ឌដូនពេញ​ រាជធានីភ្នំពេញ 120203","Khan Daun Penh, 金边 120203",""
"Footer","footer.copyright","© {year} Roomchang Dental Hospital. Operated by Kravan Healthcare Co., Ltd.","© {year} មន្ទីរពេទ្យទន្តសាស្ត្រ Roomchang។ ប្រតិបត្តិការដោយក្រុមហ៊ុនក្រវ៉ាន់ ហ៊ែលឃែរ","© {year} Roomchang牙科医院。由 Kravan Healthcare Co., Ltd. 运营。",""
"Footer","footer.heading.about","About","អំពីយើងខ្ញុំ","关于我们",""
"Footer","footer.heading.contact","Contact","ទំនាក់ទំនង","联系我们",""
"Footer","footer.heading.international","International Patients","អ្នកជំងឺអន្តរជាតិ","国际患者",""
"Footer","footer.heading.services","Services","សេវាកម្ម","诊疗项目",""
"Footer","footer.legal.ariaLabel","Legal links","តំណច្បាប់","法律链接",""
"Footer","footer.legal.bookingCancellation","Booking & Cancellation Policy","គោលការណ៍ការកក់ និងការលុបចោល","预约与取消政策",""
"Footer","footer.legal.cookiePolicy","Cookie Policy","គោលការណ៍ Cookie","Cookie 政策",""
"Footer","footer.legal.disclaimer","Disclaimer","ការបដិសេធការទទួលខុសត្រូវ","免责声明",""
"Footer","footer.legal.privacyPolicy","Privacy Policy","គោលការណ៍ឯកជនភាព","隐私政策",""
"Footer","footer.legal.termsOfService","Terms of Service","លក្ខខណ្ឌនៃការប្រើប្រាស់","服务条款",""
"Footer","footer.link.allServices","All Services","សេវាកម្មទាំងអស់","全部项目",""
"Footer","footer.link.bookAppointment","Book Appointment","ធ្វើការណាត់ជួប","预约挂号",""
"Footer","footer.link.branches","Branches","សាខា","分院地址",""
"Footer","footer.link.comingToCambodia","Coming to Cambodia?","ធ្វើដំណើរមកប្រទេសកម្ពុជា?","计划来柬埔寨？",""
"Footer","footer.link.howItWorks","How It Works","ដំណើរការនៃការព្យាបាល","就诊流程",""
"Footer","footer.link.implantsComparison","Implants Price Comparison","ប្រៀបធៀបតម្លៃបង្គោលធ្មេញ","种植牙价格对比",""
"Footer","footer.link.ourDoctors","Our Doctors","ទន្តបណ្ឌិតរបស់Roomchang","我们的医生",""
"Footer","footer.link.treatmentCosts","Treatment Costs","ថ្លៃព្យាបាល","治疗费用",""
"Footer","footer.link.visionMission","Vision & Mission","ចក្ខុវិស័យ និងបេសកកម្ម","愿景与使命",""
